name;category;brand;price;article;description
Osculati 01.128.25 - Якорь из оцинкованной стали Lewmar Epsilon 25 кг;Якоря;Бренд не указан;137 998 руб.;OS-01.128.25;Якорь Osculati Lewmar Epsilon весом 25 кг (артикул 01.128.25) предназначен для использования на яхтах и катерах, предоставляя исключительную надежность и эффективность. Этот якорь создан на основе легендарного якоря Delta®, обеспечивая сверхвысокую удерживающую способность благодаря вогнутой лапе и балластному килю, которые гарантируют быструю настройку и надежное сцепление с дном. Его конструкция сохраняет характеристики самоспуска и геометрию хвостовика, аналогичную оригинальной модели Delta®. Якорь доступен в вариантах из оцинкованной и нержавеющей стали, что обеспечивает прочность и долговечность. Он также оснащен противокоряжным дизайном и дополнительной дугой безопасности для использования на парусных лодках. Наконечник с балластом обеспечивает быстрое схватывание дна, а полная совместимость с носовыми роликами Lewmar делает его универсальным решением для любого судна. Якорь выпускается в диапазоне весов от 6 кг до 63 кг, что позволяет подобрать оптимальный вариант для ваших нужд.
Osculati 01.143.04 - DANFORTH якорь из стали горячего цинкования 505 x 425 мм 4 кг;Якоря;Бренд не указан;3 510 руб.;OS-01.143.04;Якорь Osculati 01.143.04 типа DANFORTH изготовлен из стали горячего цинкования, что обеспечивает ему высокую устойчивость к коррозии и долговечность в морской воде. Этот якорь характеризуется очень толстой пластиной, что придает ему дополнительную прочность и надежность. С размерами 505 мм в длину, 425 мм в ширину и 295 мм в высоту, он оптимально подходит для различных судов. Вес якоря составляет 4 кг, что делает его достаточно легким для удобного использования, но в то же время достаточно тяжелым, чтобы обеспечивать надежное удержание судна. Такой якорь является отличным выбором для тех, кто ищет сочетание качества, надежности и эффективности.
Osculati 01.139.08 - Якорь-кошка из литой стали горячего цинкования 575 x 490 мм 8 кг;Якоря;Бренд не указан;9 647 руб.;OS-01.139.08;Якорь-кошка Osculati 01.139.08 из литой стали с горячим цинкованием представляет собой прочное и надежное решение для обеспечения устойчивости средних и крупных лодок. С размерами 575 мм в длину и 490 мм в ширину при весе 8 кг, он обеспечивает отличное удержание даже в сложных условиях. Этот якорь оснащен контрбалансной планкой на штанге, что значительно улучшает его баланс и эффективность удержания благодаря системе SAV, разработанной в Норвегии. Горячее цинкование защищает якорь от коррозии, обеспечивая его долговечность и надежность в морской среде. Прочный и эффективно сбалансированный, этот якорь обеспечивает надежное закрепление судна на различных типах грунтов и идеально подходит для эксплуатации в морских условиях.
Osculati 01.127.63 - Якорь из нержавеющей стали Lewmar Epsilon 63 кг, калибр цепи 12 мм;Якоря;Бренд не указан;892 799 руб.;OS-01.127.63;Якорь Lewmar Epsilon весом 63 кг (модель Osculati 01.127.63) — это высококачественное морское оборудование, идеально подходящее для крупных судов. Созданный на основе надежной конструкции Delta, якорь Epsilon обладает исключительными удерживающими характеристиками, сертифицированными Lloyd и классифицированными как Super-High Holding Power. Его вогнутая лапа и утяжеленный киль обеспечивают непревзойденное сцепление с дном, что позволяет якорю быстро и надежно фиксировать судно в любых условиях. Изготовленный из нержавеющей стали, якорь устойчив к коррозии и отличается долговечностью, что гарантирует долгий срок службы. Он предназначен для цепей диаметром 12 мм и рекомендован для судов длиной до 27 метров. С размерами 1049 мм в длину, 595 мм в ширину и 22 мм в высоту, этот якорь обеспечивает надежное закрепление и спокойствие на воде, делая его отличным выбором для любого серьезного мореплавателя.
Osculati 01.139.06 - Якорь-кошка из литой стали горячего цинкования 565 x 440 мм 6 кг;Якоря;Бренд не указан;7 142 руб.;OS-01.139.06;Якорь-кошка Osculati 01.139.06, выполненный из литой стали с горячим цинкованием, является надежным выбором для средних и крупных лодок. С размерами 565 мм в длину и 440 мм в ширину при весе 6 кг, этот якорь обеспечивает отличное удержание и стабильность благодаря продуманной конструкции. Он оснащен контрбалансной планкой на штанге, что существенно улучшает его балансировку и эффективность в удержании за счет системы SAV, разработанной в Норвегии. Горячее цинкование защищает якорь от коррозии, что делает его идеальным для морских условий. Прочный и долговечный, этот якорь сочетает отличные характеристики удержания с надежной защитой от внешних воздействий, обеспечивая надежность и безопасность вашего судна.
Osculati 01.143.20 - DANFORTH якорь из стали горячего цинкования 1001 x 670 мм 20 кг;Якоря;Бренд не указан;17 629 руб.;OS-01.143.20;Якорь Osculati 01.143.20 типа DANFORTH, выполненный из горячего цинкованного стали, представляет собой мощное и надежное средство для закрепления крупных судов. С размерами 1001 мм в длину, 670 мм в ширину и 585 мм в высоту, а также весом 20 кг, этот якорь обеспечивает отличное сцепление и устойчивость даже в самых сложных морских условиях. Его толстая стальная пластина и покрытие из горячего цинка защищают от коррозии, что гарантирует долгий срок службы и надежную эксплуатацию. Этот якорь идеально подходит для использования в условиях сильных течений и бурь, обеспечивая надежную фиксацию и безопасность судна.
Osculati 01.139.25 - Якорь-кошка из литой стали горячего цинкования 360 x 315 мм 2.5 кг;Якоря;Бренд не указан;3 393 руб.;OS-01.139.25;Якорь-кошка Osculati 01.139.25, выполненный из литой стали с горячим цинкованием и весом 2,5 кг, представляет собой прочное и эффективное решение для закрепления небольших судов и лодок. С размерами 360 мм в длину и 315 мм в ширину, этот якорь оснащен контрбалансной планкой на штанге, что существенно улучшает его балансировку и эффективность благодаря системе SAV, разработанной в Норвегии. Горячее цинкование гарантирует долговечность и отличную защиту от коррозии, делая якорь надежным даже в агрессивных морских условиях. Его прочная конструкция и компактные размеры делают его идеальным для использования на малых лодках и катерах, обеспечивая надежное закрепление и устойчивость на различных типах грунтов.
Osculati 01.143.10 - DANFORTH якорь из стали горячего цинкования 705 x 525 мм 10 кг;Якоря;Бренд не указан;8 450 руб.;OS-01.143.10;Якорь Osculati 01.143.10 типа DANFORTH, изготовленный из стали с горячим цинкованием, представляет собой высококачественное морское оборудование, предназначенное для обеспечения надежной фиксации судна. Этот якорь имеет внушительные размеры 705 мм в длину, 525 мм в ширину и 420 мм в высоту, а его вес составляет 10 кг, что делает его идеальным для использования на больших и средних судах. Толстая стальная пластина и обработка горячим цинкованием обеспечивают прочность и долговечность, защищая якорь от коррозии и износа. Прочная конструкция и значительный вес якоря гарантируют стабильность и надежность в любых условиях, обеспечивая безопасность судна при стоянке.
Osculati 01.142.25 - Якорь Холла из оцинкованной стали 2.7кг 290x160мм;Якоря;Бренд не указан;3 421 руб.;OS-01.142.25;Якорь Холла Osculati 01.142.25 весом 2,7 кг и размерами 290 x 160 мм выполнен из оцинкованной стали, что обеспечивает его отличную устойчивость к коррозии и долговечность даже в сложных морских условиях. Его конструкция включает остроугольную артикулированную лапу, которая позволяет якорю надежно закрепляться на различных типах дна, включая песок, ил и гравий. Этот якорь подходит для использования на малых лодках, яхтах и катерах, обеспечивая стабильное удержание и надежность при якорении. Компактные размеры и прочная конструкция делают его идеальным выбором для тех, кто ищет эффективное и долговечное решение для крепления своего судна.
Osculati 01.142.04 - Якорь Холла из оцинкованной стали 4.2кг 320x180 мм;Якоря;Бренд не указан;5 546 руб.;OS-01.142.04;Якорь Холла Osculati 01.142.04 из оцинкованной стали весом 4,2 кг представляет собой надежное и прочное средство для закрепления судна на любых типах морского дна. Его размеры составляют 320 мм в длину и 180 мм в ширину, что делает его компактным и удобным для использования на небольших и средних судах. Конструкция якоря включает остроугольную артикулированную лапу, которая обеспечивает отличное сцепление и надежное удержание, даже на сложных грунтах. Оцинкованная сталь, из которой изготовлен якорь, обеспечивает защиту от коррозии и гарантирует долгий срок службы, что делает этот якорь отличным выбором для регулярного использования в морской среде.
Osculati 01.139.32 - Якорь-кошка из литой стали горячего цинкования 420 x 365 мм 3.2 кг;Якоря;Бренд не указан;3 734 руб.;OS-01.139.32;Якорь-кошка Osculati 01.139.32 из литой стали с горячим цинкованием, имеющий размеры 420 мм x 365 мм и вес 3,2 кг, предлагает надежное решение для крепления небольших судов и лодок. Этот якорь отличается прочной конструкцией и долговечностью благодаря горячему цинкованию, которое защищает его от коррозии и обеспечивает долгий срок службы. Особенностью модели является контрбалансная планка на штанге, которая улучшает балансировку якоря и его удерживающую способность благодаря системе SAV, разработанной в Норвегии. С таким якорем можно уверенно закреплять судно на различных типах грунтов, что делает его отличным выбором для использования на малых лодках и катерах в сложных условиях.
Osculati 01.145.65 - Якорь-плуг C.Q.R® из штампованной стали Lewmar 7кг 660x235 мм;Якоря;Бренд не указан;84 697 руб.;OS-01.145.65;Якорь-плуг C.Q.R® Osculati 01.145.65, изготовленный из штампованной стали Lewmar и весом 7 кг, представляет собой отличное решение для небольших судов. С размерами 660 мм в длину и 235 мм в ширину, этот якорь идеально подходит для судов длиной до 6 метров и цепей диаметром до 6 мм. Обладая сертификацией Lloyd's Test за высокую удерживающую способность и предоставляя пожизненную гарантию против поломок, якорь обеспечивает надежное сцепление на различных типах морского дна, включая песок, ил и гравий. Его прочная конструкция гарантирует долговечность и надежность, что делает его идеальным выбором для эксплуатации в разнообразных морских условиях и обеспечивает стабильное удержание судна даже при неблагоприятной погоде.
Osculati 01.143.08 - DANFORTH якорь из стали горячего цинкования 670 x 460 мм 8 кг;Якоря;Бренд не указан;6 746 руб.;OS-01.143.08;Якорь Osculati 01.143.08 типа DANFORTH является надежным и долговечным выбором для любых судов, благодаря своей конструкции из стали с горячим цинкованием, что обеспечивает высокую устойчивость к коррозии и износу. Толстая пластина якоря гарантирует его прочность и эффективность в самых различных условиях эксплуатации. Размеры якоря — 670 мм в длину, 460 мм в ширину и 380 мм в высоту, а его вес составляет 8 кг, что делает его достаточно мощным для надежной фиксации судна на месте. Этот якорь сочетает в себе высокое качество материалов и продуманную конструкцию, что обеспечивает долгий срок службы и высокую надежность на воде.
Osculati 01.143.15 - DANFORTH якорь из стали горячего цинкования 885 x 635 мм 15 кг;Якоря;Бренд не указан;12 825 руб.;OS-01.143.15;Якорь Osculati 01.143.15 типа DANFORTH, выполненный из стали с горячим цинкованием, представляет собой мощное и надежное средство для закрепления судна. Этот якорь имеет внушительные размеры: длина 885 мм, ширина 635 мм и высота 570 мм, что позволяет эффективно удерживать крупные и тяжелые суда в любых условиях. Весом 15 кг и обладая толстым стальным покрытием, якорь гарантирует исключительную прочность и устойчивость, даже при сильных течениях и бурях. Обработка горячим цинкованием обеспечивает защиту от коррозии и продлевает срок службы изделия, делая его идеальным выбором для серьезных морских задач.
Osculati 01.145.27 - Якорь-плуг C.Q.R® из штампованной стали Lewmar 27кг 1117x390 мм;Якоря;Бренд не указан;300 887 руб.;OS-01.145.27;Якорь-плуг C.Q.R® Osculati 01.145.27, изготовленный из штампованной стали от Lewmar и весом 27 кг, представляет собой мощное и надежное средство для надежного крепления судна. С размерами 1117 мм в длину и 390 мм в ширину, этот якорь рекомендуется для использования на судах длиной до 19 метров и с цепями диаметром до 10 мм. Он обеспечивает отличное сцепление на различных типах морского дна, включая песок, ил и гравий, благодаря своей прочной конструкции и высокой удерживающей способности. Якорь имеет пожизненную гарантию против поломок и сертификацию Lloyd's Test, что подтверждает его надежность и долговечность. Конструкция из штампованной стали обеспечивает якорю высокую прочность и устойчивость к коррозии, что делает его идеальным выбором для эксплуатации в сложных морских условиях и гарантирует стабильность и безопасность вашего судна даже при сильных течениях и неблагоприятной погоде.
Osculati 01.143.30 - DANFORTH якорь из стали горячего цинкования 1008 x 760 мм 30 кг;Якоря;Бренд не указан;25 126 руб.;OS-01.143.30;Якорь Osculati 01.143.30 типа DANFORTH представляет собой надежное и прочное решение для обеспечения стабильности и безопасности крупных судов. Изготовленный из стали с горячим цинкованием, этот якорь обладает исключительной стойкостью к коррозии и долговечностью. С размерами 1008 мм в длину, 760 мм в ширину и 655 мм в высоту, а также весом 30 кг, он предназначен для эффективного удержания больших судов в самых сложных морских условиях, таких как сильные течения и буря. Толстая стальная пластина и прочное цинковое покрытие гарантируют долгий срок службы и высокую надежность, делая этот якорь идеальным выбором для обеспечения безопасности и стабильности вашего судна.
Osculati 01.142.10 - Якорь Холла из оцинкованной стали 10.5кг 400x240 мм;Якоря;Бренд не указан;13 999 руб.;OS-01.142.10;Якорь Холла Osculati 01.142.10 весом 10,5 кг и размерами 400 x 240 мм представляет собой надежное решение для различных типов морского дна благодаря своей прочной конструкции из оцинкованной стали. Оцинкованное покрытие обеспечивает якорю отличную защиту от коррозии и долговечность. Особенностью этого якоря является остроугольная артикулированная лапа, которая гарантирует стабильное сцепление с песком, илом, гравием и каменистым грунтом. Его конструкция обеспечивает превосходную балансировку и эффективность в якорении, что делает его идеальным выбором для яхт и катеров, обеспечивая надежную и безопасную остановку в различных условиях на воде.
Osculati 01.139.10 - Якорь-кошка из литой стали горячего цинкования 610 x 595 мм 10 кг;Якоря;Бренд не указан;11 370 руб.;OS-01.139.10;Якорь-кошка Osculati 01.139.10, изготовленный из литой стали с горячим цинкованием, является надежным и эффективным выбором для крепления крупных судов. С размерами 610 мм в длину и 595 мм в ширину и весом 10 кг, этот якорь обеспечивает отличное удержание даже в сложных условиях. Он оснащен контрбалансной планкой на штанге, что значительно улучшает его балансировку и устойчивость благодаря системе SAV, разработанной в Норвегии. Горячее цинкование защищает якорь от коррозии, увеличивая его долговечность и надежность в морской среде. Прочный и надежный, этот якорь идеально подходит для различных типов грунтов и обеспечивает устойчивость вашего судна при любых условиях эксплуатации.
Osculati 01.147.20 - Якоря LEWMAR C.Q.R® - штампованная сталь горячего цинкования 45LBS;Якоря;Бренд не указан;124 211 руб.;OS-01.147.20;Якорь LEWMAR C.Q.R® Osculati 01.147.20 изготовлен из штампованной стали с горячим цинкованием и весит 45 фунтов (LBS). Этот якорь обеспечивает высокую силу удержания и подтвержден Lloyd's Test сертификатом, что гарантирует его эффективность и надежность в любых условиях. Его конструкция с металлической рамой обеспечивает прочность и долговечность. Он подходит для использования с цепями диаметром 10 мм и рекомендуется для судов длиной до 18 метров. Размеры якоря составляют 901 мм в длину, 366 мм в ширину и 100 мм в высоту. Пожизненная гарантия от поломок подчеркивает высокое качество и надежность данного якоря, что делает его отличным выбором для надежного швартовки вашего судна.
Osculati 01.139.12 - Якорь-кошка из литой стали горячего цинкования 650 x 640 мм 12 кг;Якоря;Бренд не указан;12 994 руб.;OS-01.139.12;Якорь-кошка Osculati 01.139.12, выполненный из литой стали с горячим цинкованием, представляет собой надежное и эффективное решение для крепления больших судов. Его внушительные размеры 650 мм в длину и 640 мм в ширину при весе 12 кг обеспечивают отличное удержание даже в самых сложных условиях. Благодаря контрбалансной планке на штанге, которая улучшает балансировку якоря по системе SAV, разработанной в Норвегии, этот якорь демонстрирует высокую эффективность и стабильность. Горячее цинкование защищает якорь от коррозии, что делает его особенно подходящим для морских условий. Прочный и устойчивый, он гарантирует надежное закрепление судна на различных типах грунтов, обеспечивая долговечность и надежность в эксплуатации.
Osculati 01.143.06 - DANFORTH якорь из стали горячего цинкования 610 x 450 мм 6 кг;Якоря;Бренд не указан;5 158 руб.;OS-01.143.06;Якорь Osculati 01.143.06 типа DANFORTH является высококачественным морским оборудованием, изготовленным из стали с горячим цинкованием. Этот якорь отличается исключительной прочностью и долговечностью благодаря использованию толстых стальных пластин, что делает его идеальным выбором для надежной фиксации судна в любых условиях. Размеры якоря составляют 610 мм в длину, 450 мм в ширину и 335 мм в высоту, при этом его вес равен 6 кг, что обеспечивает оптимальный баланс между компактностью и эффективностью. Прочная конструкция и качественные материалы гарантируют, что якорь будет служить долгие годы, устойчиво выдерживая нагрузки и обеспечивая безопасность на воде.
Osculati 01.142.08 - Якорь Холла из оцинкованной стали 8.8кг 380x230 мм;Якоря;Бренд не указан;10 830 руб.;OS-01.142.08;Якорь Холла Osculati 01.142.08 весом 8,8 кг и размерами 380 x 230 мм изготовлен из высококачественной оцинкованной стали, что обеспечивает ему отличную защиту от коррозии и длительный срок службы. Этот якорь оснащен остроугольной артикулированной лапой, которая обеспечивает надежное сцепление с различными типами морского дна, включая песок, ил и гравий. Конструкция якоря обеспечивает отличную устойчивость и надежность в эксплуатации, делая его идеальным выбором для различных судов, включая яхты и катера. Прочные материалы и эффективная конструкция делают этот якорь превосходным решением для обеспечения надежной и безопасной якорной остановки в морской среде.
Osculati 01.145.11 - Якорь-плуг C.Q.R® из штампованной стали Lewmar 11кг 825x282 мм;Якоря;Бренд не указан;126 344 руб.;OS-01.145.11;Якорь-плуг C.Q.R® Osculati 01.145.11, выполненный из штампованной стали от Lewmar и весом 11 кг, представляет собой надежное и эффективное решение для крепления судна. С размерами 825 мм в длину и 282 мм в ширину, этот якорь подходит для судов длиной до 11,5 метров и рекомендован для использования с цепями диаметром до 8 мм. Обладая пожизненной гарантией от поломок и сертификацией Lloyd's Test как якорь с высокой удерживающей способностью, он гарантирует превосходное сцепление на различных типах морского дна, включая песок, ил и гравий. Его прочная конструкция и штампованная сталь обеспечивают долгий срок службы и надежность, что делает этот якорь идеальным выбором для использования в сложных морских условиях, обеспечивая стабильность и безопасность вашего судна в любых погодных условиях.
Osculati 01.147.09 - Якоря LEWMAR C.Q.R® - штампованная сталь горячего цинкования 20LBS;Якоря;Бренд не указан;59 623 руб.;OS-01.147.09;Якорь LEWMAR C.Q.R® Osculati 01.147.09 выполнен из штампованной стали с горячим цинкованием и весит 20 фунтов (LBS). Этот якорь обеспечивает надежное удержание благодаря своей высокой прочности и сертифицирован как якорь с высокой силой удержания по стандартам Lloyd's Test. Он оснащен металлической рамой, что дополнительно укрепляет его конструкцию и делает его идеальным для использования на различных типах морских днов. Рекомендуемый размер цепи для этого якоря составляет 8 мм, и он предназначен для судов длиной до 9 метров. Размеры якоря включают длину 690 мм, ширину 279 мм и высоту 86 мм, что обеспечивает удобство в использовании и хранении. Пожизненная гарантия от поломок подчеркивает надежность и долговечность этого якоря, делая его отличным выбором для тех, кто ищет высококачественное решение для швартовки и закрепления своего судна.
Osculati 01.343.20 - Роульс из анодированного алюминия для якорей Bruce/Trefoil® 20 кг (1 компл. по 1 шт.);Якоря;Бренд не указан;33 790 руб.;OS-01.343.20;Роульс Osculati 01.343.20 представляет собой высококачественное устройство для крепления якорей типов Bruce и Trefoil®, выполненное из анодированного полированного алюминия. Этот роульс предназначен для якорей массой до 20 кг и отличается своей прочной конструкцией и эффективностью. Одной из ключевых особенностей данного роульса является его самоблокирующая функция. Благодаря специально разработанной форме, роульс обеспечивает надежное удержание якоря при подъеме: якорь автоматически фиксируется внутри роульса, что исключает необходимость ручного закрепления и обеспечивает дополнительную безопасность. Шкив роульса изготовлен из прочного полиамида, что гарантирует долговечность и надежное скольжение якоря, минимизируя трение и износ. В комплект входит один роульс, который легко устанавливается и обеспечивает удобство в эксплуатации. Этот роульс является отличным выбором для тех, кто ищет надежное и функциональное решение для крепления якоря на судне, обеспечивая его безопасное и эффективное использование.
Osculati 01.147.27 - Якоря LEWMAR C.Q.R® - штампованная сталь горячего цинкования 60LBS;Якоря;Бренд не указан;138 253 руб.;OS-01.147.27;Якорь LEWMAR C.Q.R® Osculati 01.147.27 изготовлен из штампованной стали с горячим цинкованием и имеет вес 60 фунтов (LBS), что делает его идеальным выбором для надежного швартовки больших судов. Этот якорь обладает высокой силой удержания, что подтверждено сертификатом Lloyd's Test, и гарантирует отличное сцепление с различными типами морского дна. Он рассчитан на использование с цепями диаметром 10 мм и подходит для судов длиной до 19 метров. Размеры якоря составляют 989 мм в длину, 402 мм в ширину и 106 мм в высоту. Пожизненная гарантия от поломок подчеркивает его прочность и долговечность, обеспечивая надежность и уверенность в его эксплуатации в любых условиях.
Osculati 01.341.90 - Клин подпорный 45 мм;Якоря;Бренд не указан;1 997 руб.;OS-01.341.90;Клин подпорный Osculati 01.341.90 служит для облегчения сбрасывания якоря, когда конструкция носовой части лодки не позволяет якорю правильно входить в роульс под необходимым углом. Этот клин размером 45 мм предназначен для использования с роульсами модели 01.341.99 и помогает улучшить процесс размещения якоря, предотвращая его застревание или неправильное расположение. Изготовленный с учетом прочности и надежности, клин упрощает работу с якорем, обеспечивая его более плавное и удобное использование, что делает эксплуатацию лодки более безопасной и эффективной.
Osculati 01.346.20 - Запасной шкив из полиамида для роульсов 69 мм;Якоря;Бренд не указан;1 169 руб.;OS-01.346.20;Запасной шкив из полиамида Osculati 01.346.20 представляет собой универсальную деталь, предназначенную для замены изношенных или поврежденных шкивов в носовых роульсах. Изготовленный из высококачественного полиамида, этот шкив отличается прочностью и устойчивостью к воздействию морской воды, что обеспечивает его долгий срок службы даже в условиях интенсивного использования. С диаметром 69 мм, шириной 43 мм и отверстием диаметром 10,1 мм, он идеально подходит для установки в различные модели роульсов, такие как 01.335.10, 01.336.10, 01.339.10, 01.343.10 и 01.347.10. Этот запасной шкив обеспечивает плавное и эффективное функционирование системы швартовки, что делает его незаменимым элементом для поддержания бесперебойной работы судового оборудования.
Osculati 01.341.91 - Клин подпорный 57 мм;Якоря;Бренд не указан;2 399 руб.;OS-01.341.91;Клин подпорный Osculati 01.341.91, размером 57 мм, предназначен для упрощения сбрасывания якоря, когда конструкция носовой части лодки не позволяет якорю правильно входить в роульс под необходимым углом. Этот клин обеспечивает правильное направление якоря и помогает избежать его застревания или неправильного размещения. Он совместим с роульсами моделей 01.341.96, 01.341.97 и 01.341.98, что делает его универсальным и удобным для использования на различных лодках. Изготовленный с акцентом на прочность и надежность, клин облегчает работу с якорем, улучшая процесс его установки и использования, а также обеспечивая дополнительную безопасность и комфорт при эксплуатации лодки.
Osculati 01.230.01 - Переходник для цепи 6 мм/троса 10 мм;Якоря;Бренд не указан;3 529 руб.;OS-01.230.01;Переходник Osculati 01.230.01 предназначен для удобного и надежного соединения якорной цепи диаметром 6 мм с тросом диаметром 10 мм без необходимости завязывания узлов, что упрощает процесс установки и эксплуатации. Он также может быть использован для кормовых швартовочных концов. Изготовленный из нержавеющей стали AISI 316 с зеркальной полировкой, этот переходник обеспечивает высокую прочность, коррозионную стойкость и долговечность в морской среде. Его качественное исполнение гарантирует надежное соединение и долговечность использования в различных условиях, обеспечивая надежность и безопасность в процессе эксплуатации.
Osculati 01.145.09 - Якорь-плуг C.Q.R® из штампованной стали Lewmar 9кг 775x246 мм;Якоря;Бренд не указан;101 847 руб.;OS-01.145.09;Якорь-плуг C.Q.R® Osculati 01.145.09 из штампованной стали от Lewmar, весом 9 кг и размерами 775 мм в длину и 246 мм в ширину, представляет собой надежное и высокоэффективное решение для крепления судна. Этот якорь, сертифицированный Lloyd's Test как якорь с высокой удерживающей способностью, предлагает пожизненную гарантию против поломок. Он подходит для использования с цепями диаметром до 8 мм и рекомендуется для судов длиной до 9 метров. Благодаря своей конструкции, этот якорь обеспечивает отличное сцепление на различных типах морского дна, включая песок, ил и гравий, что делает его идеальным выбором для сложных условий. Штампованная сталь, из которой изготовлен якорь, гарантирует его прочность и долговечность, обеспечивая надежную фиксацию и безопасность вашего судна.
